xp,yp,zp,xv,yv,zv
0.0001587454,0.000593805,0.08226164,0,0,0.089159
8.9891E-05,-0.000665474,0.07269891,0,0,0.089159
0.0001797587,-4.9786E-05,0.10525992,0,0,0.089159
-0.000404299,-0.0001190037,0.0870373,0,0,0.089159
0.000952778,-0.0001541634,0.09874065,0,0,0.089159
-0.000837072,0.0001575068,0.09161692,0,0,0.089159
-0.000414863,-0.0004824197,0.10742213,0,0,0.089159
-0.000523161,-0.0001448508,0.09273672,0,0,0.089159
-0.0001115146,-1.74601E-05,0.10427898,0,0,0.089159
-4.050853E-05,-0.000419696,0.1125749,0,0,0.089159
0.0001406789,-0.0002773147,0.06491844,0,0,0.089159
-6.877E-05,-4.38633E-05,0.11693656,0,0,0.089159
-0.0005451076,-0.0001365402,0.06184569,0,0,0.089159
-0.0002983921,0.0001176558,0.09179644,0,0,0.089159
-0.0002023908,-0.0006952725,0.06411217,0,0,0.089159
-0.0001515248,-4.03916E-05,0.08754122,0,0,0.089159
7.2578E-05,-0.000876088,0.11302273,0,0,0.089159
9.46499E-05,-0.0002391858,0.07521297,0,0,0.089159
4.23667E-07,-0.000354773,0.08419096,0,0,0.089159
2.38491E-06,-0.002353415,0.08138207,0,0,0.089159
0.0001292864,-0.0003071827,0.09525623,0,0,0.089159
7.1115E-05,0.000660055,0.09258613,0,0,0.089159
-4.7571E-05,0.003009705,0.10061671,0,0,0.089159
-0.0001333719,-0.000334134,0.0940367,0,0,0.089159
0.0001743681,-0.0003226607,0.07954207,0,0,0.089159
7.3329E-06,0.00012826,0.1770344,0,0,0.089159
0.0002515171,0.000334027,0.09304846,0,0,0.089159
0.0001596735,7.97555E-05,0.09551173,0,0,0.089159
0.0001673756,-0.0003835148,0.1225927,0,0,0.089159
3.83512E-05,-9.91931E-05,0.09942244,0,0,0.089159
0.002707376,3.01628E-05,0.14303488,0,0,0.089159
0.05015839,4.74682E-05,0.11592135,0,0,0.089159
-0.000717502,-0.001034237,0.05871968,0,0,0.089159
-0.0003056454,0.002745843,0.12232597,0,0,0.089159
0.0002438242,0.002552895,0.12512015,0,0,0.089159
2.36241E-05,2.0562E-05,0.10904837,0,0,0.089159
-7.23518E-05,-0.008869744,0.04632035,0,0,0.089159
0.0003614704,-0.000117987,0.11866669,0,0,0.089159
7.18681E-05,-0.001377841,0.08908521,0,0,0.089159
0.0004863501,-2.7613E-05,0.1099513,0,0,0.089159
-0.000176781,0.00096269,0.06136279,0,0,0.089159
-0.0001979487,-0.007694364,-0.01696358,0,0,0.089159
-0.0002870525,-0.0002788106,0.05403559,0,0,0.089159
0.0001644892,-0.0001420782,0.0657668,0,0,0.089159
3.29969E-05,-5.00166E-05,0.09796378,0,0,0.089159
-0.0001010659,0.0002455958,0.13142228,0,0,0.089159
0.0002784512,-0.000199194,0.09146485,0,0,0.089159
-8.11078E-05,-0.003215345,0.08420132,0,0,0.089159
-0.0001660325,-0.001308279,0.1316551,0,0,0.089159
0.0002517603,-1.3262E-05,0.10214764,0,0,0.089159
0.0001015503,0.000323556,0.09167695,0,0,0.089159
-0.000207515,-0.001136374,0.0903455,0,0,0.089159
-2.91848E-05,0.000805064,0.10244771,0,0,0.089159
0.0002321372,0.000172258,0.11346069,0,0,0.089159
-0.0003602173,-6.35536E-05,0.09453884,0,0,0.089159
5.2262E-05,-0.0001366763,0.09852844,0,0,0.089159
-0.0002058481,0.000141381,0.1488167,0,0,0.089159
8.84E-06,-0.00310863,0.09870237,0,0,0.089159
-6.03949E-05,0.00969876,0.09771967,0,0,0.089159
-6.2998E-06,0.00055421,0.10652353,0,0,0.089159
-0.00078606,-0.0001708405,0.10403484,0,0,0.089159
0.000415868,-0.0003008506,0.10914576,0,0,0.089159
-0.00119839,-0.006443124,0.06130118,0,0,0.089159
0.000808375,-8.24932E-05,0.0816161,0,0,0.089159
0.0001583371,0.0001692427,0.09424848,0,0,0.089159
3.05598E-05,-0.0004932236,0.06131371,0,0,0.089159
-0.01906054,-0.0003026939,0.06913354,0,0,0.089159
-0.000694686,-0.0002286345,0.09538428,0,0,0.089159
0.000206641,7.60575E-05,0.11231568,0,0,0.089159
-0.001212391,-1.81662E-05,0.1108855,0,0,0.089159
0.000601216,9.43959E-05,0.1620444,0,0,0.089159
